,date,Tmax,Normal of Tmax,Tmin,Normal of Tmin
0,29-01-23,31.6,30.4,12.2,11.3
1,30-01-23,30.7,30.4,14.9,11.3
2,31-01-23,30.6,30.4,14.4,11.3
3,01-02-23,28.5,31.0,14.8,12.0
4,02-02-23,30.1,31.0,13.9,12.0
5,03-02-23,30.4,31.0,11.5,12.0
6,04-02-23,32.3,31.0,10.3,12.0
7,05-02-23,33.1,31.4,10.9,12.0
8,06-02-23,34.1,31.4,11.5,12.0
9,07-02-23,33.1,31.4,11.5,12.0
10,08-02-23,33.5,31.4,12.4,12.0
11,09-02-23,34.2,31.4,11.7,12.0
12,10-02-23,35.0,31.6,11.4,12.4
13,11-02-23,35.7,31.6,11.5,12.4
14,12-02-23,34.1,31.6,10.7,12.4
15,13-02-23,32.3,31.6,10.6,12.4
16,14-02-23,32.3,31.6,9.3,12.4
17,15-02-23,34.1,32.3,8.4,12.9
18,16-02-23,34.3,32.3,9.4,12.9
19,17-02-23,34.7,32.3,10.8,12.9
20,18-02-23,34.5,32.3,9.9,12.9
21,19-02-23,33.7,32.3,9.4,12.9
22,20-02-23,35.2,33.3,10.5,13.4
23,21-02-23,36.7,33.3,12.2,13.4
24,22-02-23,35.7,33.3,12.0,13.4
25,23-02-23,35.1,33.3,12.5,13.4
26,24-02-23,35.2,33.3,12.0,13.4
27,25-02-23,35.1,33.9,12.5,13.6
28,26-02-23,35.3,33.9,12.1,13.6
29,27-02-23,35.4,33.9,12.4,13.6
30,28-02-23,34.7,33.9,12.8,13.6
31,01-03-23,34.6,33.9,12.5,13.6
32,02-03-23,34.1,34.2,14.3,14.7
33,03-03-23,34.1,34.2,14.4,14.7
34,04-03-23,35.2,34.2,16.3,14.7
35,05-03-23,35.2,34.2,15.9,14.7
36,06-03-23,33.3,34.2,15.8,14.7
37,07-03-23,30.1,34.6,17.4,14.7
38,08-03-23,33.2,34.6,13.2,14.7
39,09-03-23,33.3,34.6,17.5,14.7
40,10-03-23,33.8,34.6,15.8,14.7
41,11-03-23,35.2,34.6,14.7,14.7
42,12-03-23,34.7,34.9,16.7,15.7
43,13-03-23,34.7,34.9,16.3,15.7
44,14-03-23,34.9,34.9,16.8,15.7
45,15-03-23,34.3,34.9,19.4,15.7
46,16-03-23,31.5,34.9,18.6,15.7
47,17-03-23,31.4,36.4,15.2,16.4
48,18-03-23,31.4,36.4,15.8,16.4
49,19-03-23,31.8,36.4,15.0,16.4
50,20-03-23,31.2,36.4,16.4,16.4
51,21-03-23,29.8,36.4,17.1,16.4
52,22-03-23,31.1,36.7,14.9,17.0
53,23-03-23,32.2,36.7,16.3,17.0
54,24-03-23,33.5,36.7,14.7,17.0
55,25-03-23,33.8,36.7,15.3,17.0
56,26-03-23,34.6,36.7,12.5,17.0
57,27-03-23,34.8,37.2,13.6,17.8
59,29-03-23,35.7,37.2,15.6,17.8
60,30-03-23,32.9,37.2,14.7,17.8
61,31-03-23,32.8,37.2,19.9,17.8
62,01-04-23,34.3,37.3,15.5,18.2
63,02-04-23,35.1,37.3,15.8,18.2
64,03-04-23,35.2,37.3,16.4,18.2
65,04-04-23,36.6,37.3,18.2,18.2
66,05-04-23,36.8,37.3,18.2,18.2
67,06-04-23,37.2,37.4,17.5,19.1
68,07-04-23,36.0,37.4,19.9,19.1
69,08-04-23,34.9,37.4,21.1,19.1
70,09-04-23,36.9,37.4,19.7,19.1
71,10-04-23,37.1,37.4,19.3,19.1
72,11-04-23,38.6,37.8,19.9,19.7
73,12-04-23,38.8,37.8,20.2,19.7
74,13-04-23,37.9,37.8,21.2,19.7
75,14-04-23,36.9,37.8,18.3,19.7
76,15-04-23,37.6,37.8,21.1,19.7
77,16-04-23,36.1,38.0,18.2,20.4
78,17-04-23,38.2,38.0,19.2,20.4
79,18-04-23,39.2,38.0,19.7,20.4
80,19-04-23,40.0,38.0,20.4,20.4
81,20-04-23,38.4,38.0,21.1,20.4
82,21-04-23,36.7,38.2,17.6,20.7
83,22-04-23,35.1,38.2,16.7,20.7
84,23-04-23,36.1,38.2,18.2,20.7
85,24-04-23,37.4,38.2,18.9,20.7
86,25-04-23,38.3,38.2,17.6,20.7
87,26-04-23,36.7,38.7,22.2,21.5
88,27-04-23,35.6,38.7,21.2,21.5
89,28-04-23,35.2,38.7,21.4,21.5
90,29-04-23,34.8,38.7,22.0,21.5
91,30-04-23,34.4,38.7,19.0,21.5
92,01-05-23,34.4,38.5,19.2,21.6
93,02-05-23,33.4,38.5,18.9,21.6
94,03-05-23,33.9,38.5,19.7,21.6
95,04-05-23,34.3,38.5,19.4,21.6
96,05-05-23,35.5,38.5,21.3,21.6
97,06-05-23,35.3,38.0,21.8,22.6
98,07-05-23,34.8,38.0,23.0,22.6
99,08-05-23,36.8,38.0,24.2,22.6
100,09-05-23,36.5,38.0,24.2,22.6
101,10-05-23,40.1,38.0,24.8,22.6
102,11-05-23,41.0,37.5,22.7,22.3
103,12-05-23,40.8,37.5,23.9,22.3
104,13-05-23,38.0,37.5,25.1,22.3
105,14-05-23,37.5,37.5,23.2,22.3
106,15-05-23,36.5,37.5,24.1,22.3
107,16-05-23,36.2,36.9,23.1,23.4
108,17-05-23,38.5,36.9,21.3,23.4
109,18-05-23,39.5,36.9,23.4,23.4
110,19-05-23,39.7,36.9,22.6,23.4
111,20-05-23,38.5,36.9,23.1,23.4
112,21-05-23,38.8,36.6,22.8,23.7
113,22-05-23,38.1,36.6,22.3,23.7
114,23-05-23,40.1,36.6,22.8,23.7
115,24-05-23,37.6,36.6,23.7,23.7
116,25-05-23,36.2,36.6,24.0,23.7
117,26-05-23,35.9,36.3,24.4,23.8
118,27-05-23,35.6,36.3,22.7,23.8
119,28-05-23,37.2,36.3,23.3,23.8
120,29-05-23,39.1,36.3,23.3,23.8
121,30-05-23,39.1,36.3,21.9,23.8
122,31-05-23,39.6,35.7,22.5,23.6
123,01-06-23,40.1,35.7,22.3,23.6
124,02-06-23,36.5,35.7,22.7,23.6
125,03-06-23,37.1,35.7,23.8,23.6
126,04-06-23,35.1,35.7,24.4,23.6
127,05-06-23,34.7,34.3,22.4,23.4
128,06-06-23,36.1,34.3,23.3,23.4
129,07-06-23,37.4,34.3,23.8,23.4
130,08-06-23,37.6,34.3,23.6,23.4
131,09-06-23,37.4,34.3,23.8,23.4
132,10-06-23,35.8,32.4,24.9,23.3
133,11-06-23,35.9,32.4,24.7,23.3
134,12-06-23,36.4,32.4,24.9,23.3
135,13-06-23,33.6,32.4,25.8,23.3
137,15-06-23,34.2,30.9,25.4,22.9
138,16-06-23,33.8,30.9,25.3,22.9
139,17-06-23,33.6,30.9,24.7,22.9
140,18-06-23,34.1,30.9,24.8,22.9
141,19-06-23,34.7,30.9,23.9,22.9
142,20-06-23,35.1,30.4,23.7,23.0
143,21-06-23,34.9,30.4,24.4,23.0
